timestamp,temp_mean,temp_min,temp_max,ph_mean,ph_min,ph_max,rpm_mean,rpm_min,rpm_max,heater_pwm,motor_pwm,acid_pwm,base_pwm,acid_dose_l,base_dose_l,setpoint_temp,setpoint_ph,setpoint_rpm,faults_active,has_fault
2025-12-06 13:07:59.682,25.77588264653706,25.694118047982442,25.82672489973362,4.002432095738384,3.973826489039469,4.041935076417833,1195.3044441752604,1183.7697751371866,1199.9113324668504,0.8773818469299405,1.0,0.0,0.0,1.7118103706865284e-05,4.52933969830961e-05,29.0,4.0,1200.0,"{'name': 'therm_voltage_bias', 'id': None}",1
2025-12-06 13:08:00.794,25.86291965246021,25.760405129237085,25.91520264505749,3.9985932480861504,3.9602047715638005,4.041935076417833,1181.0176417867267,1153.3515621285512,1195.963868487618,0.876037539769582,1.0,0.0,0.0,5.902838361996762e-05,2.9433390973096862e-05,29.0,4.0,1200.0,"{'name': 'therm_voltage_bias', 'id': None}",1
2025-12-06 13:08:01.793,25.901933211869995,25.82672489973362,25.95946374638561,3.9942590652529804,3.973826489039469,4.014691641466489,1192.998458150098,1185.598271080565,1198.547906280875,0.8843763062625308,1.0,0.0,0.0,3.451426458219604e-05,5.122945774248585e-05,29.0,4.0,1200.0,"{'name': 'therm_voltage_bias', 'id': None}",1
2025-12-06 13:08:02.784,25.928488040598562,25.848838807621348,26.00373978952291,3.987448206515144,3.9465830540881246,4.041935076417833,1190.920461617002,1173.1789200311391,1199.0998919425354,0.8819766380825023,1.0,0.0,9.23421005959723e-05,3.756846619388006e-05,1.8333764764362e-05,29.0,4.0,1200.0,"{'name': 'therm_voltage_bias', 'id': None}",1
2025-12-06 13:08:03.779,25.961686703286535,25.893077668799776,26.025883443071848,4.006518610981086,3.973826489039469,4.041935076417833,1185.8574003846309,1169.7305800431668,1197.1166914919381,0.8894821305652565,1.0,0.0,0.0,5.115170764091776e-05,3.218509770861186e-05,29.0,4.0,1200.0,"{'name': 'therm_voltage_bias', 'id': None}",1
2025-12-06 13:08:04.780,25.992675095824826,25.937331333751786,26.048030866650947,3.5955142446014663,0.0,4.014691641466489,1186.9816591560555,1173.1567951614843,1197.9412387743657,0.8891206243782077,1.0,0.0,0.0069148169383037115,5.282596248248976e-05,1.5658273158571078e-05,29.0,4.0,1200.0,"{'name': 'therm_voltage_bias', 'id': None}, {'name': 'ph_offset_bias', 'id': None}",1
2025-12-06 13:08:05.912,26.06012056996183,25.981599894469753,26.114495873036162,0.0,0.0,0.0,1183.9286971678594,1160.9153027519083,1198.970619387183,0.8914027526105754,1.0,0.0,0.08462068456973637,2.550480416782271e-05,0.00016271948794078123,29.0,4.0,1200.0,"{'name': 'therm_voltage_bias', 'id': None}, {'name': 'ph_offset_bias', 'id': None}",1
2025-12-06 13:08:06.880,26.09234467598252,26.025883443071848,26.158824939273472,0.0,0.0,0.0,1184.834988480445,1162.522072735821,1195.1140959660706,0.8986682762597944,1.0,0.0,0.11169758614646008,2.179808025272663e-05,0.00022291283673856797,29.0,4.0,1200.0,"{'name': 'therm_voltage_bias', 'id': None}, {'name': 'ph_offset_bias', 'id': None}",1
2025-12-06 13:08:07.980,26.134648232472763,26.09233707007843,26.18099522571123,0.0,0.0,0.0,1191.3022909266297,1176.3321632310099,1199.3447821928544,0.9002015415792183,1.0,0.0,0.13877448772318376,4.858239091461836e-05,0.00031482542042305896,29.0,4.0,1200.0,"{'name': 'therm_voltage_bias', 'id': None}, {'name': 'ph_offset_bias', 'id': None}",1
2025-12-06 13:08:08.979,26.178782814790615,26.114495873036162,26.225347363181527,0.0,0.0,0.0,1190.6988505252536,1182.6130193446297,1198.0333039232457,0.8982248348182698,1.0,0.0,0.16585138929990748,4.494391414311648e-05,0.00032529590052077527,29.0,4.0,1200.0,"{'name': 'therm_voltage_bias', 'id': None}, {'name': 'ph_offset_bias', 'id': None}",1
2025-12-06 13:08:10.080,26.199142266686145,26.158824939273472,26.24752923742153,0.06687024942603258,0.009906703618672632,0.13250216089973235,1194.5296585074261,1188.4906214727348,1198.7716524653415,0.9029354302509816,1.0,0.0,0.19131634722724478,6.734780061598286e-05,0.000421115328865609,29.0,4.0,1200.0,"{'name': 'therm_voltage_bias', 'id': None}, {'name': 'ph_offset_bias', 'id': None}",1
2025-12-06 13:08:11.179,26.263671437794198,26.203169363147367,26.38070249227826,0.2872944049414661,0.15974559585107648,0.4321799453645325,1191.6239593121272,1166.178449955758,1199.7143113834982,0.9069703775532889,1.0,0.0,0.21436989399917808,5.358560914064107e-05,0.0004527780018603696,29.0,4.0,1200.0,"{'name': 'therm_voltage_bias', 'id': None}, {'name': 'ph_offset_bias', 'id': None}",1
2025-12-06 13:08:12.179,26.300786777182008,26.24752923742153,26.358497128569297,0.7849824279844586,0.4866668152672207,1.3039698638075965,1181.0830396408305,1160.7794882974854,1193.6685396148787,0.910590704261536,1.0,0.0,0.22808365034775852,6.172377724959992e-05,0.00043785470782307316,29.0,4.0,1200.0,"{'name': 'therm_voltage_bias', 'id': None}, {'name': 'ph_offset_bias', 'id': None}",1
2025-12-06 13:08:13.278,26.346394059809413,26.29190465499221,26.402911811683055,4.162053857794226,1.6445128006994165,4.913724994860904,1186.3838594682747,1173.9410786231665,1199.185658706974,0.9077083648057684,1.0,0.0,0.175098290033066,4.454177270035529e-05,0.00037837356462810815,29.0,4.0,1200.0,"{'name': 'therm_voltage_bias', 'id': None}, {'name': 'ph_offset_bias', 'id': None}",1
2025-12-06 13:08:14.280,26.371824303661576,26.33629570888951,26.44734236429082,7.599927681063585,4.9682118647635924,9.368026609405916,1187.3255207988211,1168.9387169026472,1199.592829353487,0.915733441440316,1.0,0.0026065305537924673,0.1058507482333589,2.306224885621419e-05,0.0002092268599166564,29.0,4.0,1200.0,"{'name': 'therm_voltage_bias', 'id': None}",1
2025-12-06 13:08:15.278,26.40291418977076,26.358497128569297,26.425125098459205,9.448394742512392,9.408891761832937,9.490622066686976,1188.0389775864426,1177.6891752550923,1196.1707180516755,0.9170728492018597,1.0,0.0,0.051287780686607054,3.357546235942421e-05,0.00014582435087107066,29.0,4.0,1200.0,"{'name': 'therm_voltage_bias', 'id': None}",1
2025-12-06 13:08:16.380,26.443309024683444,26.38070249227826,26.491788879899786,9.510435473924316,9.449756914259957,9.572352371541008,1189.405835951855,1174.7016873242342,1199.2094277288822,0.9163727205049603,1.0,0.0008493688770417396,0.013956330786937128,4.549831794143752e-05,0.00010940366088854224,29.0,4.0,1200.0,"{'name': 'therm_voltage_bias', 'id': None}",1
2025-12-06 13:08:17.479,30.597031896940095,26.38070249227826,32.18267552119812,9.512912149828987,9.436135196784281,9.558730654065341,1192.6288497523924,1185.1611658819006,1198.087899838618,0.7233377956024845,1.0,0.025537267750793593,0.0,0.00012530515727155405,4.786684812270675e-05,29.0,4.0,1200.0,"{'name': 'therm_voltage_bias', 'id': None}",1
2025-12-06 13:08:18.581,32.184830992791596,32.135452406493414,32.229927866425896,9.434896858831946,9.381648326881592,9.504243784162645,1189.073855287765,1168.3346583262546,1199.2914931632167,0.7295093208855046,1.0,0.06321861069220042,0.0,0.00015832880008771424,4.3437209955984575e-05,29.0,4.0,1200.0,none,0
2025-12-06 13:08:19.679,32.195576482315296,32.11185177258119,32.27720956408223,9.3234464431219,9.163700847270825,9.422513479308613,1188.5774675731266,1167.5355582011496,1198.1733362697971,0.7244974565750911,1.0,0.09914000441948002,0.0,0.00027474487498909273,7.24237231243956e-05,29.0,4.0,1200.0,none,0
2025-12-06 13:08:20.778,32.20201434750346,32.135452406493414,32.27720956408223,8.940800015850728,8.49623669096286,9.150079129795156,1190.133729292411,1176.5866186965898,1199.1360888480965,0.7239983218564476,1.0,0.12815017946496168,0.0,0.0002973383363177856,5.304392344640046e-05,29.0,4.0,1200.0,none,0
2025-12-06 13:08:21.780,32.18032860547046,32.08825840073291,32.25356503856864,6.187355578836313,5.1452941919473405,8.2782892113521,1196.8482216524021,1189.192680549499,1199.9594707161928,0.7251698366319982,1.0,0.10009487797134653,0.0,0.00021923640502866053,3.5122810807997315e-05,29.0,4.0,1200.0,none,0
